id,nome,generos,source
32977,Aggressive Retsuko (Aggretsuko),Comedy,Other
36904,Aggressive Retsuko (ONA) (Aggretsuko (ONA)),Comedy,Other
49520,Aharen-san wa Hakarenai,"Comedy, Romance",Manga
22147,Amagi Brilliant Park,"Comedy, Supernatural",Light novel
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Drama, Supernatural",Original
11111,Another,"Horror, Mystery",Novel
21995,Ao Haru Ride (Blue Spring Ride),Romance,Manga
31964,Boku no Hero Academia (My Hero Academia),Action,Manga
33486,Boku no Hero Academia 2nd Season (My Hero Academia Season 2),Action,Manga
36456,Boku no Hero Academia 3rd Season (My Hero Academia Season 3),Action,Manga
38408,Boku no Hero Academia 4th Season (My Hero Academia Season 4),Action,Manga
35262,Boku no Hero Academia: Hero Note (My Hero Academia: Hero Notebook),Action,Manga
33929,Boku no Hero Academia: Sukue! Kyuujo Kunren!,Action,Manga
35459,Boku no Hero Academia: Training of the Dead,Action,Manga
38302,Boku no Tonari ni Ankoku Hakaishin ga Imasu.,Comedy,Manga
31478,Bungou Stray Dogs (Bungo Stray Dogs),"Action, Mystery",Manga
1535,Death Note,"Supernatural, Suspense",Manga
28223,Death Parade,"Drama, Fantasy, Suspense",Original
35120,Devilman: Crybaby,"Action, Avant Garde, Horror, Supernatural",Manga
30346,Doukyuusei (Doukyusei: Classmates),Boys Love,Manga
41025,Fumetsu no Anata e (To Your Eternity),"Adventure, Drama, Supernatural",Manga
33731,Gabriel DropOut,"Comedy, Supernatural",Manga
34280,Gamers!,"Comedy, Romance",Light novel
23289,Gekkan Shoujo Nozaki-kun (Monthly Girls' Nozaki-kun),"Comedy, Romance",Manga
39533,Given,"Boys Love, Drama",Manga
49053,Given: Uragawa no Sonzai (given - on the other hand),"Boys Love, Drama",Manga
39463,Gleipnir,"Action, Mystery, Ecchi",Manga
15809,Hataraku Maou-sama! (The Devil is a Part-Timer!),"Comedy, Supernatural",Light novel
36296,Hinamatsuri,Comedy,Manga
42897,Horimiya,Romance,Manga
10408,Hotarubi no Mori e (Into the Forest of Fireflies' Light),"Award Winning, Drama, Romance, Supernatural",Manga
11013,Inu x Boku SS (Inu X Boku Secret Service),"Comedy, Romance, Supernatural",Manga
39534,Jibaku Shounen Hanako-kun (Toilet-Bound Hanako-kun),Supernatural,Manga
40748,Jujutsu Kaisen,"Action, Award Winning, Supernatural",Manga
48561,Jujutsu Kaisen 0 Movie (Jujutsu Kaisen 0),"Action, Supernatural",Manga
51009,Jujutsu Kaisen 2nd Season (Jujutsu Kaisen Season 2),"Action, Supernatural",Manga
7054,Kaichou wa Maid-sama! (Maid Sama!),"Comedy, Romance",Manga
34933,Kakegurui,"Drama, Mystery, Suspense",Manga
14713,Kamisama Hajimemashita (Kamisama Kiss),"Comedy, Romance, Supernatural",Manga
25681,Kamisama Hajimemashita◎ (Kamisama Kiss Season 2),"Comedy, Romance, Supernatural",Manga
