id,nome,score,generos,tipo
656,Vagabond,9.27,"Action, Adventure, Award Winning",Manga
147272,The Greatest Estate Developer,9.02,"Adventure, Comedy, Fantasy",Manhwa
4632,Oyasumi Punpun (Goodnight Punpun),8.99,"Drama, Slice of Life",Manga
657,Real,8.96,"Award Winning, Drama, Sports",Manga
3,20th Century Boys,8.93,"Award Winning, Drama, Mystery, Sci-Fi",Manga
34053,Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,8.92,"Drama, Fantasy, Mystery, Supernatural",Manga
104,Yotsuba to! (Yotsuba&!),8.91,"Award Winning, Comedy, Slice of Life",Manga
126479,Mikkakan no Koufuku (Three Days of Happiness),8.88,Drama,Novel
7375,Kokou no Hito (The Climber),8.83,"Award Winning, Drama, Sports",Manga
140765,Tian Guan Cifu (Heaven Official's Blessing),8.82,"Action, Adventure, Boys Love, Drama, Fantasy",Manhua
100448,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",8.77,Drama,Manga
178182,On the Way to Meet Mom,8.76,"Adventure, Fantasy",Manhwa
178671,My Bias Gets on the Last Train,8.74,Romance,Manhwa
132678,Veil,8.73,"Romance, Slice of Life",Manga
102875,Fata Morgana no Yakata: Anata no Genten ni Itaru Monogatari,8.71,"Drama, Horror, Mystery, Supernatural",Light Novel
125036,The Horizon,8.69,"Adventure, Drama",Manhwa
55215,Utsuro no Hako to Zero no Maria (The Empty Box and Zeroth Maria),8.68,"Action, Drama, Horror, Mystery, Romance, Supernatural, Suspense",Light Novel
128365,Kimi to Tsuzuru Utakata (The Summer You Were There),8.68,Girls Love,Manga
23900,Umineko no Naku Koro ni Chiru - Episode 7: Requiem of the Golden Witch,8.65,"Drama, Mystery, Supernatural, Suspense",Manga
904,Kozure Ookami (Lone Wolf & Cub),8.63,Action,Manga
145863,"Sayonara Eri (Goodbye, Eri)",8.63,Drama,Manga
24875,Shinyaku Toaru Majutsu no Index (A Certain Magical Index NT),8.62,"Action, Comedy, Fantasy, Sci-Fi, Supernatural",Light Novel
61579,Tobaku Datenroku Kaiji: One Poker-hen,8.60,Drama,Manga
103237,Wind Breaker,8.59,"Drama, Sports",Manhwa
114043,"Umarekawattemo Mata, Watashi to Kekkon shitekuremasu ka",8.59,Romance,Manga
145539,Seasons of Blossom,8.59,Romance,Manhwa
134744,The Legend of the Northern Blade,8.58,"Action, Adventure, Fantasy",Manhwa
11054,Billy Bat,8.57,"Drama, Mystery, Supernatural",Manga
11514,Otoyomegatari (A Bride's Story),8.56,"Award Winning, Romance",Manga
164926,Webtoon Character Na Kang Lim,8.56,"Comedy, Romance, Supernatural",Manhwa
138533,Nan Hao Shang Feng,8.55,Comedy,Manhua
137303,Hirayasumi,8.54,Slice of Life,Manga
180207,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 3-nensei-hen,8.54,Drama,Light Novel
147448,After School Lessons for Unripe Apples,8.53,Romance,Manhwa
39859,Steins;Gate,8.52,"Sci-Fi, Suspense",Light Novel
79993,Umineko no Naku Koro ni Chiru,8.51,"Fantasy, Horror, Mystery, Supernatural, Suspense",Light Novel
21498,Umineko no Naku Koro ni Chiru - Episode 5: End of the Golden Witch,8.51,"Drama, Fantasy, Horror, Mystery, Supernatural, Suspense",Manga
159387,Mushoku Tensei: Dasoku-hen,8.51,"Fantasy, Slice of Life",Light Novel
117851,Shimeji Simulation,8.51,Slice of Life,Manga
115506,Yagate Kimi ni Naru: Saeki Sayaka ni Tsuite,8.50,"Drama, Girls Love",Light Novel
141120,The Boxer,8.50,"Drama, Sports",Manhwa
146878,Return of the Blossoming Blade,8.50,"Action, Adventure, Fantasy",Manhwa
11734,Watashitachi no Shiawase na Jikan,8.49,"Drama, Romance",Manga
18200,Sotsugyousei (Classmates: Sotsu gyo sei),8.49,"Boys Love, Drama",Manga
44307,Kakukaku Shikajika (Blank Canvas: My So-Called Artist's Journey),8.49,"Award Winning, Slice of Life",Manga
180916,Kimi ni Okuru Eien,8.48,Girls Love,Manga
87610,Tensei shitara Slime Datta Ken,8.47,Fantasy,Light Novel
25515,JoJo no Kimyou na Bouken Part 8: JoJolion,8.47,"Action, Adventure, Award Winning, Mystery, Supernatural",Manga
38071,Spirit Circle,8.47,"Action, Adventure, Comedy, Drama, Romance, Supernatural",Manga
46282,Chikan Otoko,8.47,"Comedy, Drama, Romance, Slice of Life",Manga
111213,Bastard,8.47,"Drama, Horror, Mystery, Romance",Manhwa
119072,Here U Are,8.47,"Boys Love, Drama, Slice of Life",Manhua
133641,Villains Are Destined to Die,8.47,"Drama, Fantasy, Romance",Manhwa
92299,Berserk: Shinen no Kami 2,8.47,None,One-shot
88639,"Ohayou, Ibarahime (Wake Up, Sleeping Beauty)",8.46,"Romance, Supernatural",Manga
143325,Lost in the Cloud,8.46,Boys Love,Manhwa
97244,Shimanami Tasogare (Our Dreams at Dusk: Shimanami Tasogare),8.45,"Drama, Slice of Life",Manga
21499,Umineko no Naku Koro ni Chiru - Episode 6: Dawn of the Golden Witch,8.45,"Drama, Horror, Mystery, Supernatural",Manga
112988,blanc (Classmates: blanc),8.45,"Boys Love, Drama, Slice of Life",Manga
155861,Kininatteru Hito ga Otoko ja Nakatta,8.45,Girls Love,Manga
112370,Spirit Fingers,8.44,"Comedy, Romance, Slice of Life",Manhwa
87397,Shiori Experience: Jimi na Watashi to Hen na Ojisan,8.43,"Comedy, Supernatural",Manga
124374,Souyaku Toaru Majutsu no Index,8.43,"Action, Comedy, Fantasy, Sci-Fi, Supernatural",Light Novel
743,21st Century Boys,8.43,"Award Winning, Drama, Mystery, Sci-Fi",Manga
3285,Holyland,8.43,Action,Manga
136103,Haruka Tooki Ie (A Home Far Away),8.42,"Boys Love, Drama",Manga
110771,Toshokan no Daimajutsushi (Magus of the Library),8.41,Fantasy,Manga
170427,The Knight Only Lives Today,8.41,"Action, Fantasy",Manhwa
8967,Onanie Master Kurosawa,8.40,Drama,Manga
93699,Innocent Rouge,8.40,"Award Winning, Drama",Manga
6164,My Girl,8.38,"Drama, Slice of Life",Manga
8586,The Breaker,8.38,"Action, Comedy, Drama",Manhwa
87953,Shousetsu Akatsuki no Yona: Onaji Tsuki no Shita de,8.38,"Adventure, Romance",Light Novel
48621,Koe no Katachi,8.38,Drama,One-shot
165876,Houkago Kitaku Biyori,8.38,Romance,Manga
93516,SQ: Begin W/Your Name!,8.37,"Comedy, Girls Love, Slice of Life",Manhua
22651,The Breaker: New Waves,8.37,"Action, Comedy, Drama, Romance",Manhwa
144011,Kimi no Yoru ni Fureru (Touch within the Abyss),8.37,"Boys Love, Drama",Manga
110160,"Mata, Onaji Yume wo Miteita (I Had That Same Dream Again)",8.37,Drama,Manga
118737,Her Tale of Shim Chong,8.36,"Drama, Girls Love",Manhwa
119184,Solo Leveling,8.36,"Action, Adventure, Fantasy",Novel
106602,Bleach: Can't Fear Your Own World,8.36,"Action, Supernatural",Light Novel
166372,Love Bullet,8.36,"Action, Drama, Girls Love, Supernatural",Manga
149493,Daytime Star,8.36,Romance,Manhwa
154545,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 0,8.36,Drama,Light Novel
122906,Kieta Hatsukoi (My Love Mix-Up!),8.35,"Award Winning, Boys Love, Comedy, Romance",Manga
147585,Sensou Kyoushitsu (The Bugle Call: Song of War),8.35,"Action, Fantasy",Manga
148542,Akuyaku Reijou no Naka no Hito: Danzai sareta Tenseisha no Tame Usotsuki Heroine ni Fukushuu Itashimasu,8.35,Drama,Manga
147692,I Shall Master This Family,8.34,Fantasy,Manhwa
131338,Whale Star: The Gyeongseong Mermaid,8.34,"Drama, Romance",Manhwa
936,Homunculus,8.34,"Drama, Horror, Mystery, Supernatural",Manga
95243,Re:Zero kara Hajimeru Isekai Seikatsu Ex,8.34,Fantasy,Light Novel
100922,Blue Giant Supreme,8.33,None,Manga
923,Kanata kara (From Far Away),8.33,"Adventure, Award Winning, Fantasy, Romance",Manga
3571,Ten: Tenhou-doori no Kaidanji,8.33,Drama,Manga
58141,Machida-kun no Sekai (The world of Machida-kun),8.32,"Award Winning, Romance",Manga
62023,Mushishi Tokubetsu-hen: Hihamukage,8.32,"Fantasy, Mystery, Supernatural",Manga
146909,SSS-Class Revival Hunter,8.32,"Action, Adventure, Fantasy",Manhwa
148137,Leviathan,8.32,"Action, Fantasy",Manhwa
156681,"Tsuihou sareru Tabi ni Skill wo Te ni Ireta Ore ga, 100 no Isekai de 2-shuume Musou",8.32,Fantasy,Manga
123444,Teito Seihai Kitan: Fate/type Redline,8.31,"Action, Fantasy",Manga
139629,JoJo no Kimyou na Bouken Part 9: The JoJoLands,8.31,"Action, Adventure, Supernatural",Manga
443,Mars,8.31,"Drama, Romance",Manga
3575,"Saikyou Densetsu Kurosawa (The Legend of the Strongest, Kurosawa!)",8.31,"Action, Comedy, Drama, Suspense",Manga
15306,Takemitsuzamurai,8.31,"Award Winning, Slice of Life",Manga
167788,Xiao Mogu (Little Mushroom),8.31,"Boys Love, Sci-Fi",Manhua
162733,Mairimashita! Iruma-kun: If Episode of Mafia,8.30,Fantasy,Manga
7458,Death Note Another Note: Los Angeles BB Renzoku Satsujin Jiken,8.30,Mystery,Novel
15547,Kiichi VS,8.30,Drama,Manga
174045,I Love Amy,8.29,"Drama, Girls Love",Manhwa
57791,Canis Series (Canis),8.29,"Boys Love, Drama, Slice of Life",Manga
84983,Chichi to Hige-Gorilla to Watashi,8.29,"Comedy, Slice of Life",Manga
14236,Love So Life,8.29,Romance,Manga
704,Trigun Maximum,8.28,"Action, Adventure, Award Winning, Comedy, Sci-Fi",Manga
762,Tokyo Crazy Paradise,8.28,"Action, Comedy, Drama, Romance",Manga
141043,"Kinou no Haru de, Kimi wo Matsu (Wait for Me Yesterday in Spring)",8.28,"Mystery, Romance, Supernatural",Light Novel
145496,Yuki no Yousei (Snow Fairy),8.28,Boys Love,Manga
112774,Ojisama to Neko (A Man & His Cat),8.28,Slice of Life,Manga
77609,Harukaze no Étranger (Seaside Stranger: Harukaze no Etranger),8.28,"Boys Love, Slice of Life",Manga
79,Sora wa Akai Kawa no Hotori (Red River),8.27,"Action, Adventure, Award Winning, Drama, Fantasy, Romance, Supernatural",Manga
2459,Komatta Toki ni wa Hoshi ni Kike,8.27,"Boys Love, Comedy, Drama",Manga
6520,Hana to Akuma,8.27,"Fantasy, Romance",Manga
106809,Koko wa Ima kara Rinri desu. (From Now On We Begin Ethics.),8.27,Drama,Manga
168980,"Myst, Might, Mayhem",8.27,"Action, Fantasy",Manhwa
124845,Sweet Home,8.27,"Action, Drama, Horror, Suspense",Manhwa
30079,Annarasumanara,8.27,"Drama, Mystery, Romance",Manhwa
47022,Sakamichi no Apollon: Bonus Track,8.27,"Drama, Romance, Slice of Life",Manga
5255,Dengeki Daisy,8.26,"Comedy, Drama, Romance",Manga
119392,Boy Meets Maria,8.26,"Boys Love, Drama",Manga
17910,Yomawari Sensei,8.25,Drama,Manga
4258,Hikari to Tomo ni...: Jiheishouji wo Kakaete,8.25,"Award Winning, Drama, Slice of Life",Manga
148234,How to Win My Husband Over,8.25,"Drama, Fantasy",Manhwa
163877,Virtual Strangers,8.25,"Boys Love, Comedy",Manhwa
162158,Murderous Lewellyn's Candlelit Dinner,8.24,"Boys Love, Suspense",Manhwa
131008,A Stepmother's Märchen,8.24,"Drama, Fantasy, Romance",Manhwa
103989,Kaichou wa Maid-sama!: Marriage,8.24,"Comedy, Romance",Manga
4625,Kamigami no Itadaki (The Summit of the Gods),8.24,"Adventure, Award Winning, Drama, Mystery, Sports",Manga
44711,Feng Shen Ji III,8.24,"Action, Fantasy, Supernatural",Manhua
168586,Suming Zhi Huan (Lord of Mysteries 2: Circle of Inevitability),8.24,"Action, Fantasy, Mystery, Suspense",Novel
166865,The Extra's Academy Survival Guide,8.23,"Action, Fantasy",Manhwa
113555,King's Maker,8.23,"Boys Love, Drama, Fantasy",Manhwa
117020,Tsukiatte Agetemo Ii kana (How Do We Relationship?),8.23,Girls Love,Manga
